ID,Title,Year,Journal,Author,,,,,,,,,,,,
2-s2.0-85065501184,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85067899355,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85065931767,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85064322514,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85064228514,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85063425129,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85066061394,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85065214842,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85056651553,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85062664013,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85060098999,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85058877724,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85055546766,None,2017,Neural Computation,Ruibo Wang,Yu Wang,Jihong Li,Xingli Yang,Jing Yang,,,,,,,,
2-s2.0-85013683708,STDP-Compatible Approximation of Backpropagation in an Energy-Based Model.,2017,Neural Computation,Yoshua Bengio,Thomas Mesnard,Asja Fischer,Saizheng Zhang,Yuhuai Wu,,,,,,,,
2-s2.0-85013637766,Deep Learning with Dynamic Spiking Neurons and Fixed Feedback Weights.,2017,Neural Computation,Arash Samadi,Timothy P. Lillicrap,Douglas B. Tweed,,,,,,,,,,
2-s2.0-85013649003,Interpretation of the Precision Matrix and Its Application in Estimating Sparse Brain Connectivity during Sleep Spindles from Human Electrocorticography Recordings.,2017,Neural Computation,Anup Das,Aaron L. Sampson,Claudia Lainscsek,Lyle Muller,Wutu Lin,John C. Doyle,Sydney S. Cash,Eric Halgren,Terrence J. Sejnowski,,,,
2-s2.0-85013651382,Selective Interareal Synchronization through Gamma Frequency Differences and Slower-Rhythm Gamma Phase Reset.,2017,Neural Computation,Thomas Burwick,Alexandros Bouras,,,,,,,,,,,
2-s2.0-85013639035,Effects of Small-World Rewiring Probability and Noisy Synaptic Conductivity on Slow Waves: Cortical Network.,2017,Neural Computation,Ramazan Tekin,Mehmet Emin Tagluk,,,,,,,,,,,
2-s2.0-85013664081,On Decoding Grid Cell Population Codes Using Approximate Belief Propagation.,2017,Neural Computation,Yongseok Yoo,Woori Kim,,,,,,,,,,,
2-s2.0-85013683182,Multisensory Bayesian Inference Depends on Synapse Maturation during Training: Theoretical Analysis and Neural Modeling Implementation.,2017,Neural Computation,Mauro Ursino,Cristiano Cuppini,Elisa Magosso,,,,,,,,,,
2-s2.0-85013675102,Spike-Centered Jitter Can Mistake Temporal Structure.,2017,Neural Computation,Jonathan Platkiewicz,Eran Stark,Asohan Amarasingham,,,,,,,,,,
2-s2.0-85013662875,Multiple Diffusion Models to Compare Saccadic and Manual Responses for Inhibition of Return.,2017,Neural Computation,W. Joseph MacInnes,,,,,,,,,,,,
2-s2.0-85013675736,Analysis of Online Composite Mirror Descent Algorithm.,2017,Neural Computation,Yunwen Lei,Ding-Xuan Zhou,,,,,,,,,,,
2-s2.0-85013666191,Solving Nonlinearly Separable Classifications in a Single-Layer Neural Network.,2017,Neural Computation,Nolan Conaway,Kenneth J. Kurtz,,,,,,,,,,,
2-s2.0-85016035546,Unifying Adversarial Training Algorithms with Data Gradient Regularization.,2017,Neural Computation,Alexander G. Ororbia II,Daniel Kifer,C. Lee Giles,,,,,,,,,,
2-s2.0-85016079739,Information Maximization Explains the Sparseness of Presynaptic Neural Response.,2017,Neural Computation,Minjoon Kouh,,,,,,,,,,,,
2-s2.0-85015997516,On the Dynamical Interplay of Positive and Negative Affects.,2017,Neural Computation,Jonathan Touboul,Alberto Romagnoni,Robert Schwartz,,,,,,,,,,
2-s2.0-85015990032,Evolving Network Model That Almost Regenerates Epileptic Data.,2017,Neural Computation,G. Manjunath,,,,,,,,,,,,
2-s2.0-85016062557,Multiway Array Decomposition of EEG Spectrum: Implications of Its Stability for the Exploration of Large-Scale Brain Networks.,2017,Neural Computation,Radek Marecek,Martin Lamos,Ren¨¦ Labounek,Marek Barton,Tom¨¢s Slav¨ªcek,Michal Mikl,Ivan Rektor,Milan Br¨¢zdil,,,,,
2-s2.0-85016011261,Maximum Pseudolikelihood Estimation for Model-Based Clustering of Time Series Data.,2017,Neural Computation,Hien Duy Nguyen,Geoffrey J. McLachlan,Pierre Orban,Pierre Bellec,Andrew L. Janke,,,,,,,,
2-s2.0-85016067791,"An in Silico, Biomarker-Based Method for the Evaluation of Virtual Neuropsychiatric Drug Effects.",2017,Neural Computation,Peter J. Siekmeier,,,,,,,,,,,,
2-s2.0-85016062679,"Semisupervised, Multilabel, Multi-Instance Learning for Structured Data.",2017,Neural Computation,Hossein Soleimani,David J. Miller,,,,,,,,,,,
2-s2.0-85016046111,Parameter Estimation of Nonlinear Systems by Dynamic Cuckoo Search.,2017,Neural Computation,Qixiang Liao,Shudao Zhou,Hanqing Shi,Weilai Shi,,,,,,,,,
2-s2.0-85064920662,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85053709969,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85067793092,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85067019056,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85066444082,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85059839967,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85065619948,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85065501184,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85067899355,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85065931767,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85064322514,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85064228514,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85063425129,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85066061394,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85065214842,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85056651553,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85062664013,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85060098999,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85058877724,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85055546766,None,2017,Neural Computation,Minnan Luo,Feiping Nie,Xiaojun Chang,Yi Yang,Alexander G. Hauptmann,Qinghua Zheng,,,,,,,
2-s2.0-85017479761,Parameter Identifiability in Statistical Machine Learning: A Review.,2017,Neural Computation,Zhi-Yong Ran,Bao-Gang Hu,,,,,,,,,,,
2-s2.0-85017437099,Using Inspiration from Synaptic Plasticity Rules to Optimize Traffic Flow in Distributed Engineered Networks.,2017,Neural Computation,Jonathan Y. Suen,Saket Navlakha,,,,,,,,,,,
2-s2.0-85017439802,An Approximation of the Error Backpropagation Algorithm in a Predictive Coding Network with Local Hebbian Synaptic Plasticity.,2017,Neural Computation,James C. R. Whittington,Rafal Bogacz,,,,,,,,,,,
2-s2.0-85017423411,Modulation of Context-Dependent Spatiotemporal Patterns within Packets of Spiking Activity.,2017,Neural Computation,Miho Itoh,Timoth¨¦e G. Leleu,,,,,,,,,,,
2-s2.0-85017440734,Variational Latent Gaussian Process for Recovering Single-Trial Dynamics from Population Spike Trains.,2017,Neural Computation,Yuan Zhao,Il Memming Park,,,,,,,,,,,
2-s2.0-85017436013,Fast Estimation of Approximate Matrix Ranks Using Spectral Densities.,2017,Neural Computation,Shashanka Ubaru,Yousef Saad,Abd-Krim Seghouane,,,,,,,,,,
2-s2.0-85017440509,Unsupervised 2D Dimensionality Reduction with Adaptive Structure Learning.,2017,Neural Computation,Xiaowei Zhao,Feiping Nie,Sen Wang,Jun Guo,Pengfei Xu,Xiaojiang Chen,,,,,,,
2-s2.0-85017455918,Multiassociative Memory: Recurrent Synapses Increase Storage Capacity.,2017,Neural Computation,Marcelo Matheus Gauy,Florian Meier,Angelika Steger,,,,,,,,,,
2-s2.0-85017476868,Erratum to "A Note on Divergences".,2017,Neural Computation,Xiao Liang,,,,,,,,,,,,
2-s2.0-85019863837,A Unified Theory of Neuro-MRI Data Shows Scale-Free Nature of Connectivity Modes.,2017,Neural Computation,Vitaly L. Galinsky,Lawrence R. Frank,,,,,,,,,,,
2-s2.0-85019870121,Mean First Passage Memory Lifetimes by Reducing Complex Synapses to Simple Synapses.,2017,Neural Computation,Terry Elliott,,,,,,,,,,,,
2-s2.0-85019905959,Information Rate Analysis of a Synaptic Release Site Using a Two-State Model of Short-Term Depression.,2017,Neural Computation,Mehrdad Salmasi,Martin Stemmler,Stefan Glasauer,Alex Loebel,,,,,,,,,
2-s2.0-85019895381,Evidence Accumulation and Change Rate Inference in Dynamic Environments.,2017,Neural Computation,Adrian E. Radillo,Alan Veliz-Cuba,Kresimir Josic,Zachary P. Kilpatrick,,,,,,,,,
2-s2.0-85019908114,The Deterministic Information Bottleneck.,2017,Neural Computation,DJ Strouse,David J. Schwab,,,,,,,,,,,
2-s2.0-85001907650,The Deterministic Information Bottleneck.,2017,Neural Computation,DJ Strouse,David J. Schwab,,,,,,,,,,,
2-s2.0-85019927531,Robust Averaging of Covariances for EEG Recordings Classification in Motor Imagery Brain-Computer Interfaces.,2017,Neural Computation,Takashi Uehara,Matteo Sartori,Toshihisa Tanaka,Simone G. O. Fiori,,,,,,,,,
2-s2.0-85019836663,Olfactory Recognition Based on EEG Gamma-Band Activity.,2017,Neural Computation,Onder Aydemir,,,,,,,,,,,,
2-s2.0-85019869116,Chaotic Pattern Alternations Can Reproduce Properties of Dominance Durations in Multistable Perception.,2017,Neural Computation,Takashi Kanamaru,,,,,,,,,,,,
2-s2.0-85019892714,Lag Synchronization Criteria for Memristor-Based Coupled Neural Networks via Parameter Mismatches Analysis Approach.,2017,Neural Computation,Ning Li,Jinde Cao,Ahmed Alsaedi,Fuad E. Alsaadi,,,,,,,,,
2-s2.0-85064920662,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85053709969,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85067793092,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85067019056,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85066444082,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85059839967,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85065619948,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85065501184,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85067899355,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85065931767,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85064322514,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85064228514,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85063425129,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85066061394,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85065214842,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85056651553,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85062664013,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85060098999,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85058877724,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85055546766,None,2017,Neural Computation,Paolo Puggioni,Marta Jelitai,Ian Duguid,Mark C. W. van Rossum,,,,,,,,,
2-s2.0-85021352334,Effect of Phase Response Curve Shape and Synaptic Driving Force on Synchronization of Coupled Neuronal Oscillators.,2017,Neural Computation,Ramana Dodla,Charles J. Wilson,,,,,,,,,,,
2-s2.0-85021357877,Determination of the Lowest-Energy States for the Model Distribution of Trained Restricted Boltzmann Machines Using a 1000 Qubit D-Wave 2X Quantum Computer.,2017,Neural Computation,Yaroslav Koshka,Dilina Perera,Spencer Hall,M. A. Novotny,,,,,,,,,
2-s2.0-85021381169,Local Intrinsic Dimension Estimation by Generalized Linear Modeling.,2017,Neural Computation,Hideitsu Hino,Jun Fujiki,Shotaro Akaho,Noboru Murata,,,,,,,,,
2-s2.0-85021311543,Generalization Analysis of Fredholm Kernel Regularized Classifiers.,2017,Neural Computation,Tieliang Gong,Zongben Xu,Hong Chen,,,,,,,,,,
2-s2.0-85021343237,A Weight-Adaptive Laplacian Embedding for Graph-Based Clustering.,2017,Neural Computation,De Cheng,Feiping Nie,Jiande Sun,Yihong Gong,,,,,,,,,
2-s2.0-85021341984,Support Vector Algorithms for Optimizing the Partial Area under the ROC Curve.,2017,Neural Computation,Harikrishna Narasimhan,Shivani Agarwal,,,,,,,,,,,
2-s2.0-85049911959,A Customized Attention-Based Long Short-Term Memory Network for Distant Supervised Relation Extraction.,2017,Neural Computation,Dengchao He,Hongjun Zhang,Wenning Hao,Rui Zhang,Kai Cheng,,,,,,,,
2-s2.0-85021319974,Multiview Feature Analysis via Structured Sparsity and Shared Subspace Discovery.,2017,Neural Computation,Yan-shuo Chang,Feiping Nie,Ming-Yu Wang,,,,,,,,,,
2-s2.0-85021347111,Analytical Derivation of Nonlinear Spectral Effects and 1/f Scaling Artifact in Signal Processing of Real-World Data.,2017,Neural Computation,Claudia Lainscsek,Lyle E. Muller,Aaron L. Sampson,Terrence J. Sejnowski,,,,,,,,,
2-s2.0-85024918932,Population Vectors Can Provide Near Optimal Integration of Information.,2017,Neural Computation,Josue Orellana,Jordan Rodu,Robert E. Kass,,,,,,,,,,
2-s2.0-85024903965,Predicting the Existence and Stability of Phase-Locked Mode in Neural Networks Using Generalized Phase-Resetting Curve.,2017,Neural Computation,Sorinel A. Oprisan,,,,,,,,,,,,
2-s2.0-85024828851,Multivariate Time Series Decomposition into Oscillation Components.,2017,Neural Computation,Takeru Matsuda,Fumiyasu Komaki,,,,,,,,,,,
2-s2.0-85024932317,Direct Estimation of the Derivative of Quadratic Mutual Information with Application in Supervised Dimension Reduction.,2017,Neural Computation,Voot Tangkaratt,Hiroaki Sasaki,Masashi Sugiyama,,,,,,,,,,
2-s2.0-85024847940,Deep Restricted Kernel Machines Using Conjugate Feature Duality.,2017,Neural Computation,Johan A. K. Suykens,,,,,,,,,,,,
2-s2.0-85024891669,Rank Selection in Nonnegative Matrix Factorization using Minimum Description Length.,2017,Neural Computation,Steven Squires,Adam Pr¨¹gel-Bennett,Mahesan Niranjan,,,,,,,,,,
2-s2.0-85024861096,GP-Select: Accelerating EM Using Adaptive Subspace Preselection.,2017,Neural Computation,Jacquelyn A. Shelton,Jan Gasthaus,Zhenwen Dai,Jrg L¨¹cke,Arthur Gretton,,,,,,,,
2-s2.0-85024828377,LQG Online Learning.,2017,Neural Computation,Giorgio Gnecco,Alberto Bemporad,Marco Gori,Marcello Sanguineti,,,,,,,,,
2-s2.0-84963876638,LQG Online Learning.,2017,Neural Computation,Giorgio Gnecco,Alberto Bemporad,Marco Gori,Marcello Sanguineti,,,,,,,,,
2-s2.0-85047217264,Sensory Metrics of Neuromechanical Trust.,2017,Neural Computation,William Softky,Criscillia Benford,,,,,,,,,,,
2-s2.0-85031680076,Deep Convolutional Neural Networks for Image Classification: A Comprehensive Review.,2017,Neural Computation,Waseem Rawat,Zenghui Wang,,,,,,,,,,,
2-s2.0-85047204329,Implementing a Bayes Filter in a Neural Circuit: The Case of Unknown Stimulus Dynamics.,2017,Neural Computation,Sacha Sokoloski,,,,,,,,,,,,
2-s2.0-85047191577,Cortical Spike Synchrony as a Measure of Input Familiarity.,2017,Neural Computation,Clemens Korndrfer,Ekkehard Ullner,Jordi Garc¨ªa-Ojalvo,Gordon Pipa,,,,,,,,,
2-s2.0-85047216677,Dendrites Enable a Robust Mechanism for Neuronal Stimulus Selectivity.,2017,Neural Computation,Romain D. Caz¨¦,Sarah Jarvis,Amanda J. Foust,Simon R. Schultz,,,,,,,,,
2-s2.0-85047186617,"Recurrent Information Optimization with Local, Metaplastic Synaptic Dynamics.",2017,Neural Computation,Sensen Liu,ShiNung Ching,,,,,,,,,,,
2-s2.0-85047212994,Nonnegative Matrix Factorization with Rank Regularization and Hard Constraint.,2017,Neural Computation,Ronghua Shang,Chiyang Liu,Yang Meng,Licheng Jiao,Rustam Stolkin,,,,,,,,
2-s2.0-85029296564,Differential Covariance: A New Class of Methods to Estimate Sparse Connectivity from Neural Recordings.,2017,Neural Computation,Tiger W. Lin,Anup Das,Giri P. Krishnan,Maxim Bazhenov,Terrence J. Sejnowski,,,,,,,,
2-s2.0-85029283962,"Active Inference, Curiosity and Insight.",2017,Neural Computation,Karl J. Friston,Marco Lin,Christopher D. Frith,Giovanni Pezzulo,J. Allan Hobson,Sasha Ondobaka,,,,,,,
2-s2.0-85029325330,Memory States and Transitions between Them in Attractor Neural Networks.,2017,Neural Computation,Stefano Recanatesi,Mikhail Katkov,Misha Tsodyks,,,,,,,,,,
2-s2.0-85029326201,Toward an Open-Ended BCI: A User-Centered Coadaptive Design.,2017,Neural Computation,Kiret Dhindsa,Dean Carcone,Suzanna Becker,,,,,,,,,,
2-s2.0-85029315918,The Two-Dimensional Gabor Function Adapted to Natural Image Statistics: A Model of Simple-Cell Receptive Fields and Sparse Structure in Images.,2017,Neural Computation,Peter N. Loxley,,,,,,,,,,,,
2-s2.0-85029332533,Nonconvex Policy Search Using Variational Inequalities.,2017,Neural Computation,Yusen Zhan,Haitham Bou-Ammar,Matthew E. Taylor,,,,,,,,,,
2-s2.0-85029320074,Constrained ERM Learning of Canonical Correlation Analysis: A Least Squares Perspective.,2017,Neural Computation,Jia Cai,Hongwei Sun,,,,,,,,,,,
2-s2.0-85038874093,Rat Prefrontal Cortex Inactivations during Decision Making Are Explained by Bistable Attractor Dynamics.,2017,Neural Computation,Alex T. Piet,Jeffrey C. Erlich,Charles D. Kopec,Carlos D. Brody,,,,,,,,,
2-s2.0-85038842138,Simultaneous Estimation of Nongaussian Components and Their Correlation Structure.,2017,Neural Computation,Hiroaki Sasaki,Michael Gutmann,Hayaru Shouno,Aapo Hyvrinen,,,,,,,,,
2-s2.0-85038817347,Blind Nonnegative Source Separation Using Biological Neural Networks.,2017,Neural Computation,Cengiz Pehlevan,Sreyas Mohan,Dmitri B. Chklovskii,,,,,,,,,,
2-s2.0-85038834878,Effect of Morphologic Features of Neurons on the Extracellular Electric Potential: A Simulation Study Using Cable Theory and Electro-Quasi-Static Equations.,2017,Neural Computation,R. Bestel,Revathi Appali,Ursula van Rienen,C. Thielemann,,,,,,,,,
2-s2.0-85038806712,Discrete Sparse Coding.,2017,Neural Computation,Georgios Exarchakis,Jrg L¨¹cke,,,,,,,,,,,
2-s2.0-67149093189,Discrete Sparse Coding.,2017,Neural Computation,Georgios Exarchakis,Jrg L¨¹cke,,,,,,,,,,,
2-s2.0-85038865564,A Robust Regression Framework with Laplace Kernel-Induced Loss.,2017,Neural Computation,Liming Yang,Zhuo Ren,Yidan Wang,Hongwei Dong,,,,,,,,,
2-s2.0-85038851599,Sparse Covariance Matrix Estimation by DCA-Based Algorithms.,2017,Neural Computation,Phan Duy Nhat,Hoai An Le Thi,Tao Pham Dinh,,,,,,,,,,
2-s2.0-85038809393,Margin Error Bounds for Support Vector Machines on Reproducing Kernel Banach Spaces.,2017,Neural Computation,Liangzhi Chen,Haizhang Zhang,,,,,,,,,,,
2-s2.0-85064920662,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85053709969,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85067793092,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85067019056,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85066444082,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85059839967,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85065619948,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85065501184,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85067899355,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85065931767,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85064322514,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85064228514,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85063425129,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85066061394,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85065214842,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85056651553,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85062664013,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85060098999,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85058877724,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85055546766,None,2017,Neural Computation,Jie Yang,Yan Ma,Xiangfen Zhang,Shunbao Li,Yuping Zhang,,,,,,,,
2-s2.0-85032715657,Noise-Robust Modes of the Retinal Population Code Have the Geometry of "Ridges" and Correspond to Neuronal Communities.,2017,Neural Computation,Adrianna Loback,Jason S. Prentice,Mark L. Ioffe,Michael J. Berry II,,,,,,,,,
2-s2.0-85035770771,Delay Differential Analysis of Seizures in Multichannel Electrocorticography Data.,2017,Neural Computation,Claudia Lainscsek,Jonathan Weyhenmeyer,Sydney S. Cash,Terrence J. Sejnowski,,,,,,,,,
2-s2.0-85059447430,"First Passage Time Memory Lifetimes for Simple, Multistate Synapses.",2017,Neural Computation,Terry Elliott,,,,,,,,,,,,
2-s2.0-85035764875,"First Passage Time Memory Lifetimes for Simple, Multistate Synapses.",2017,Neural Computation,Terry Elliott,,,,,,,,,,,,
2-s2.0-85035781078,Capturing the Dynamical Repertoire of Single Neurons with Generalized Linear Models.,2017,Neural Computation,Alison I. Weber,Jonathan W. Pillow,,,,,,,,,,,
2-s2.0-85035778321,Neural Decoding: A Predictive Viewpoint.,2017,Neural Computation,Sonia Todorova,Val¨¦rie Ventura,,,,,,,,,,,
2-s2.0-85032342533,"Dopamine, Inference, and Uncertainty.",2017,Neural Computation,Samuel J. Gershman,,,,,,,,,,,,
2-s2.0-85035755417,Learning Simpler Language Models with the Differential State Framework.,2017,Neural Computation,Alexander G. Ororbia II,Tomas Mikolov,David Reitter,,,,,,,,,,
