ID,Title,Year,Journal,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-85006802873,Part 2 - The firings of many neurons and their density; the neural network its connections and field of firings.,2017,Evolutionary Computation,Thomas L. Saaty,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84973550029,State of Neural Networks Is Strong.,2016,Evolutionary Computation,Kenji Doya,DeLiang Wang,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84946605465,Constructing general partial differential equations using polynomial and neural networks.,2016,Evolutionary Computation,Ladislav Zjavka,Witold Pedrycz,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84944742056,Distributed parameter estimation in unreliable sensor networks via broadcast gossip algorithms.,2016,Evolutionary Computation,Huiwei Wang,Xiaofeng Liao,Zidong Wang,Tingwen Huang,Guo Chen,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84945349117,A linear functional strategy for regularized ranking.,2016,Evolutionary Computation,Galyna Kriukova,Oleksandra Panasiuk,Sergei V. Pereverzyev,Pavlo Tkachenko,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84946593533,One pass learning for generalized classifier neural network.,2016,Evolutionary Computation,Buse Melis Ozyildirim,Mutlu Avci,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84945970282,A non-penalty recurrent neural network for solving a class of constrained optimization problems.,2016,Evolutionary Computation,Alireza Hosseini,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-85013816800,None,2016,Evolutionary Computation,Boshan Chen,Jiejie Chen,,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84946615377,Global Mittag-Leffler synchronization of fractional-order neural networks with discontinuous activations.,2016,Evolutionary Computation,Zhixia Ding,Yi Shen,Leimin Wang,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84946592726,Robust fixed-time synchronization of delayed Cohen-Grossberg neural networks.,2016,Evolutionary Computation,Ying Wan,Jinde Cao,Guanghui Wen,Wenwu Yu,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84946606426,Finite-time synchronization of fractional-order memristor-based neural networks with time delays.,2016,Evolutionary Computation,G. Velmurugan,R. Rakkiyappan,Jinde Cao,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84947941121,Pixel classification based color image segmentation using quaternion exponent moments.,2016,Evolutionary Computation,Xiangyang Wang,Zhi-fang Wu,Liang Chen,Hong-Liang Zheng,Hong-Ying Yang,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84947997368,TWSVR: Regression via Twin Support Vector Machine.,2016,Evolutionary Computation,Reshma Khemchandani,Keshav Goyal,Suresh Chandra,,,,,,,,,,,,,,,,,,,,,,,,,
2-s2.0-84947976021,SIM-ELM: Connecting the ELM model with similarity-function learning.,2016,Evolutionary Computation,Paolo Gastaldo,Federica Bisio,Sergio Decherchi,Rodolfo Zunino,,,,,,,,,,,,,,,,,,,,,,,,
