"P_ID","R_ID","Journal","Author"
"2-s2.0-85038208476","2-s2.0-0000920843","IEEE Transactions on Electronic Computers","Shunichi Amari"
"2-s2.0-85038208476","2-s2.0-84984027863","Information theory II: Geometrical theory of information","Amari S."
"2-s2.0-85038208476","2-s2.0-0000396062","Neural Computation","Shun-Ichi Amari"
"2-s2.0-85038208476","2-s2.0-85007445890","Information geometry and its applications","Amari S."
"2-s2.0-85038208476","2-s2.0-0034201611","Neural Computation","Shun-Ichi Amari","Hyeyoung Park","Kenji Fukumizu"
"2-s2.0-85038208476","2-s2.0-33646407804","Neural Computation","Shun-Ichi Amari","Hyeyoung Park","Tomoko Ozeki"
"2-s2.0-85038208476","2-s2.0-69349090197","Foundations and Trends in Machine Learning","Yoshua Bengio"
"2-s2.0-85038208476","2-s2.0-85024508370","Journal of Applied Mechanics, Transactions ASME","Bryson A.E.","Denham W.F."
"2-s2.0-85038208476","2-s2.0-85007194411","In Proceedings of the 18th International Conference on Artificial Intelligence and Statistics","Choromanska A.","Henaff M.","Mathieu M.","Aous G.B.","LeCun Y."
"2-s2.0-85038208476","2-s2.0-49649091991","IEEE Transactions on Neural Networks","Florent Cousseau","Tomoko Ozeki","Shun-Ichi Amari","Florent Cousseau","Tomoko Ozeki"
"2-s2.0-85038208476","2-s2.0-84928534967","Advances in Neural Information Processing Systems","Yann N. Dauphin","Razvan Pascanu","Caglar Gulcehre","Kyunghyun Cho","Yoshua Bengio","Surya Ganguli"
"2-s2.0-85038208476","2-s2.0-0034018074","Neural Networks","Fukumizu K.","Amari S."
"2-s2.0-85038208476","2-s2.0-0019152630","Biological Cybernetics","Kunihiko Fukushima"
"2-s2.0-85038208476","2-s2.0-0000071615","Physical Review A","Tom M. Heskes","Bert Kappen"
"2-s2.0-85038208476","2-s2.0-33745805403","Neural Computation","Geoffrey E. Hinton","Simon Osindero","Yee-Whye Teh"
"2-s2.0-85038208476","2-s2.0-33746600649","Science","Hinton G.E.","Salakhutdinov R.R."
"2-s2.0-85038208476","2-s2.0-0031573117","Neural Computation","Sepp Hochreiter","J¨¹rgen Schmidhuber"
"2-s2.0-85038208476","2-s2.0-5844415822","New Generation Computing","Takio Kurita"
"2-s2.0-85038208476","2-s2.0-0032203257","Proceedings of the IEEE","Yann LeCun","L¨¦on Bottou","Patrick Haffner","Yoshua Bengio","Yann LeCun","Yann LeCun","L¨¦on Bottou"
"2-s2.0-85038208476","2-s2.0-85006050533","Proceedings of the National Academy of Sciences of the United States of America","Masafumi Oizumi","Shun-Ichi Amari","Masafumi Oizumi","Naotsugu Tsuchiya","Naotsugu Tsuchiya","Naotsugu Tsuchiya"
"2-s2.0-85038208476","2-s2.0-84999035113","Information and Inference","Ollivier Y."
"2-s2.0-85038208476","2-s2.0-85038210406","Information and Inference","Ollivier Y."
"2-s2.0-85038208476","2-s2.0-0034266869","Neural Networks","Park H.","Amari S.-I.","Fukumizu K."
"2-s2.0-85038208476","2-s2.0-84883177991","Revisiting natural gradient for deep networks","Pascanu R.","Bengio Y."
"2-s2.0-85038208476","2-s2.0-85019256874","Advances in Neural Information Processing Systems","Ben Poole","Subhaneil Lahiri","Surya Ganguli","Maithra Raghu","Jascha Sohl-Dickstein"
"2-s2.0-85038208476","2-s2.0-0000016172","Annals of Mathematical Statistics","Robbins H.","Monro S."
"2-s2.0-85038208476","2-s2.0-0003952786","Principles of neurodynamics","Rosenblatt F."
"2-s2.0-85038208476","2-s2.0-0022471098","Nature","David E. Rumelhart","Ronald J. Williams","Geoffrey E. Hinton"
"2-s2.0-85038208476","2-s2.0-84937900341","Exact solutions to the nonlinear dynamics of learning in deep linear neural networks","Saxe A.M.","McClelland J.L.","Ganguli S."
"2-s2.0-85038208476","2-s2.0-84910651844","Neural Networks","J¨¹rgen Schmidhuber"
"2-s2.0-85038208476","2-s2.0-84912151936","Automation and Remote Control","Tsypkin Y.Z."
"2-s2.0-85038208476","2-s2.0-77950854176","Algebraic geometry and statistical learning theory","Watanabe S."
"2-s2.0-85038208476","2-s2.0-41549141920","Neural Computation","Haikun Wei","Jun Zhang","Florent Cousseau","Tomoko Ozeki","Shun-Ichi Amari","Haikun Wei","Haikun Wei","Jun Zhang","Florent Cousseau","Tomoko Ozeki"
"2-s2.0-85038208476","2-s2.0-0003529238","Beyond regression: New tools for prediction and analysis in the behavioral sciences","Werbos W.J."
"2-s2.0-85038210786","2-s2.0-70049099706","Bayesian online changepoint detection","Adams R.","MacKay D."
"2-s2.0-85038210786","2-s2.0-23244432007","Annual Review of Neuroscience","Gary Aston-Jones","Jonathan D. Cohen","Jonathan D. Cohen"
"2-s2.0-85038210786","2-s2.0-0030860266","Neuroscience","Aston-Jones G.","Rajkowski J.","Kubiak P."
